var,context,short def,long def,number of vars in sentence,context length,distance
J,cluster i) Ji are intracluster couplings and J is the intercluster coupling,coupling,intercluster coupling,3,12,4
r,spacetime due to redshifting if we set the radius r and equate the spinspin coupling with,radius,radius,1,16,1
n^i,gives the external probe and n^i are the atom number operators at a site,operators,atom number operators,1,14,5
H,Substituting this expansion in the Hamiltonian H one can get a generalized BoseHubbard model,Hamiltonian,Hamiltonian,1,14,1
κ,Δla are the large cavityatom detunings κ is the cavity relaxation rate ηl(t),rate,cavity relaxation rate,2,13,5
⟨a†a⟩,gives the photon number ⟨a†a⟩ as a function of the detuning as a,number,photon number,1,13,1
Δ~p,where the central frequency Δ~p spectral width σω,frequency,central frequency,2,8,1
|Ψ⟩,and calculate their expectation values for prescribed atomic states |Ψ⟩,states,atomic states,1,10,1
a†a,From Eq. the stationary photon number a†a is,number,stationary photon number,1,8,1
σω,demonstrating Gaussian and Poissonian distributions with the spectral width σω directly reflecting the atom distribution functions,width,spectral width,1,16,1
g,where g is the atomlight coupling constant,constant,atomlight coupling constant,1,7,5
P^z,eigenvalues an important operator is the projector P^z whose eigenvalues,projector,projector,1,10,1
d,a filling fraction of 8.9 % and a minimal distance d between the centers of neighboring scatterers,distance,minimal distance,1,16,1
Q,been chosen for their particular low loss (quality factor Q) and their high index of,factor,quality factor,1,15,1
ϵ,cylindrical dielectric scatterers with a measured dielectric constant ϵ a radius of,constant,measured dielectric constant,1,12,1
ξtheory,we evaluated the localization length ξtheory in two dimensions for our system of scatterers,length,localization length,1,14,1
ω,To be more explicit at a given frequency ω the 2D Helmholtz equation for the,frequency,frequency,1,15,1
ξloc,their centers we extracted values of their localization lengths ξloc by numerically evaluating the field amplitude spatial autocorrelation,lengths,localization lengths,1,18,1
R,the boundary the localization length ξloc and the distance R from the center of the mode to the,distance,distance,2,18,1
Γtot,the partial width Γleak from the measured total width Γtot thanks to a proper evaluation of the contribution,width,measured total width,2,18,7
Γleak,by the following relation between the spectral partial width Γleak due to leakage at the boundary the localization,width,spectral partial width,1,18,1
α,Here α is a coefficient whose precise value depends upon,coefficient,coefficient,1,10,3
S,Another interesting thermodynamical quantity is the entropy S,entropy,entropy,1,8,1
p,and that there are l–space–like dimensions mathematically p∼ϵs (here p and ϵ are momentum and energy respectively),momentum,momentum,2,17,4
P,ϵ are momentum and energy respectively) then the pressure P and the energy density u of the corresponding,pressure,pressure,3,18,1
u,respectively) then the pressure P and the energy density u of the corresponding gas are related by the,density,energy density,2,18,1
ϵ,with ϵ and σ the well depth and core of,depth,well depth,1,10,5
x,it is written in terms of the gas parameter x with a the swave scattering length,parameter,gas parameter,2,16,1
P,Results for the pressure P and the speed of sound c for some,pressure,pressure,2,13,1
E,E is a constant acting as a reference energy,energy,reference energy,1,9,8
n,The condensate fraction n,fraction,condensate fraction,1,4,1
r,K (slightly deeper than KW) at a distance r,distance,distance,1,9,1
ρ,example in the gas phase and at a density ρ the values,density,density,1,12,1
C,where C is an integration constant,constant,integration constant,1,6,4
ϕ,equations can be written in first order form treating ϕ as the evolution parameter in place of t,parameter,evolution parameter,1,18,4
MP,where MP is the reduced Planck mass,mass,reduced Planck mass,1,7,5
Θ,the vesicle shape which is dependent on two parameters Θ and Φ,parameter,parameter,2,12,1
S,of the evolution is governed by two dimensionless parameters S and Λ depending on the vesicle excess area,parameter,dimensionless parameter,2,18,1
R,shape and can be directly related to the parameter R introduced in Ref,parameter,parameter,1,13,1
η~,where η~ is viscosity of the interior fluid and ζ,viscosity,viscosity of the interior fluid,1,10,2
u,The quantity u is a dimensionless displacement characterizing deviations of the,displacement,dimensionless displacement,1,11,4
Λ,evolution is governed by two dimensionless parameters S and Λ depending on the vesicle excess area viscosity contrast,parameter,dimensionless parameter,2,18,3
γ˙,that for a shear flow s where γ˙ is the shear rate.,rate,shear rate,2,12,4
pgate,them with a generalized depolarizing channel that with probability pgate depolarizes both qubits acted upon by the gate,probability,probability,1,18,1
d,where d is the distance between the nanoresonator,distance,distance,1,8,3
ω,p is the momentum m is its mass and ω is its frequency,frequency,frequency,3,13,3
ℓ,The zeropoint motion amplitude is ℓ,amplitude,zeropoint motion amplitude,1,6,2
γ,on the time scale of the inverse damping coefficient γ,coefficient,inverse damping coefficient,1,10,1
T,(in the jargon of nuclear magnetic resonance the times T and T' respectively),time,time,2,13,4
m,x is the oscillator position p is the momentum m is its mass and ω is its frequency,mass,mass,4,18,3
ℱ,Note that for a slow operator ℱ the linear coupling term (λ) does not generate,operator,slow operator,2,15,1
Cg,the SET island via displacementdependent gate capacitance Cg,capacitance,displacementdependent gate capacitance Cg(x,1,8,1
TM,Tn has to be longer than the measurement time TM,time,measurement time,1,10,1
HM,with Ho and Hint specified above and HM being the Hamiltonian of the meter,Hamiltonian,Hamiltonian,1,14,3
t,operators with unspecified time variable are taken at time t,time,time,1,10,6
B,where E and B are the electrical and magnetic fields respectively.,fields,magnetic fields,2,11,6
ρ,In the instantaneous rest frame the charge density is ρ and the current density vanishes,density,charge density,1,15,2
δy,where δy is the Lorentz contraction,contraction,Lorentz contraction,1,6,4
m,mass of the dressed particle be the bare mass m plus the electromagnetic mass,mass,bare mass,1,14,9
q,will assume that the particle has a nonzero charge q and that in the instantaneous rest frame it,charge,nonzero charge,1,18,1
mP,included in a negative pressure contribution to the mass mP,mass,mass,1,10,1
E,where E and B are the electrical and magnetic fields,field,electrical field,2,10,8
α∼,telescope and features a power law SED with slope α∼,slope,slope,1,10,1
ΔT,shows the CMB temperature change ΔT evaluated at the centers of the two DM,change,CMB temperature change,1,14,1
l,of states per unit area in each LL where l is the magnetic length,length,magnetic length,1,14,4
M,radial trap frequency Ω is the frequency of rotation M is the mass of the particles Vd is the,mass,mass of the particles,2,19,3
m,Here m denotes the number of flux pairs ΨLandau is,number,number of flux pairs,1,10,3
B,moving in a constant magnetic field of strength B perpendicular to their plane,field,magnetic field,1,13,3
s,T is an oriented tree with only one vertex s of indegree zero,vertex,vertex,2,13,1
L,angular velocity Ω spindown power L,power, spindown power,2,6,1
γ,will accelerate electrons and positrons to such Lorentz factors γ that the curvature radiation power balances the electric,factors,Lorentz factors,1,18,1
Ω,Radius of the star R angular velocity Ω spindown power L,velocity,angular velocity,3,11,1
ρ,The GoldreichJulian charge density inside the separatrix is ρ,density,GoldreichJulicharge density,1,9,5
R,Radius of the star R angular velocity Ω,radius,radius of the star,2,8,4
nlc,The nominal particle density near the light cylinder is nlc,density,nominal particle density,1,10,6
E,where E denote parallel electric fields in the bulk,fields,parallel electric fields,1,9,4
B,The nominal magnetic field at the pole B (for axisymmetric pulsar L,field,nominal magnetic field,2,12,4
r,where r is the cylindrical radius,radius,cylindrical radius,1,6,4
zmax,with constant density per comoving volume and zmin and zmax are respectively the redshifts of the closest and,redshift,redshift,2,18,4
ΩΛ,dark energy density ΩΛ and a dark matter density Ωm,density,dark matter density,2,10,1
Ωm,ΩΛ and a dark matter density Ωm,density,dark matter density,1,7,1
H,assume a standard cosmological model with a Hubble constant H,constant,Hubble constant,1,10,1
E,can be interpreted as an absorption “dip” at energies E due to the propagation of,energies,energies,1,15,1
zmin,nonevolving sources with constant density per comoving volume and zmin and zmax are respectively the redshifts of the,redshift,redshift,2,18,6
Emax,provides the flux normalization α is spectral index and Emax is the maximum energy to which protons can,energy,maximum energy,2,18,4
E,enhanced by the interaction of UHECR protons with energies E with a large infrared background in,energies,energies,1,16,1
γi,where γe is the extrinsic coupling rate and γi is the intrinsic cavity,cavity,intrinsic cavity,2,13,4
V′,σg where σ is an effective decay constant and V′ is an effective volume of the waveguide,volume,effective volume of the waveguide,2,17,4
QM,ω is the angular frequency of the input light; QM is the intrinsic quality factor of the WGM;,factor,intrinsic quality factor,2,18,5
σ,where σ is an effective decay constant,constant,effective decay constant,1,7,5
Φ,We model the force by considering the potential energy Φ of the waveguide due to the polarization induced,energy,potential energy,1,18,1
