var,context,def
"αn","the linear thermal expansion coefficient αn normal to the film","coefficient"
"αf","coefficient of the free volume αf is extracted from","volume"
"rij","where rij is the distance between vortices","distance"
"Ω","a the triangular vortex lattice period Ω the frequency of","period"
"Δt","The equations are integrated using a time step of Δt averages are evaluated during steps after","step"
"nv","and the normalized vortex density is nv","density"
"np","with a density of pinning centers being np","density"
"Λ","thickness d with d ≪ λ has an effective penetration depth Λ","depth"
"a","a thickness d with d ≪ λ has an effective penetration depth Λ","thickness"
"V","each of these dynamical regimes with velocity V to the","velocity"
"𝐄","induce a total electric field 𝐄 with 𝐯","field"
"Nv","We consider Nv vortices and Np pinning centers in a rectangular","vortices"
"N","with N being the Avogadro number A the atomic number","number"
"NX","that the difference NX is made up by a","difference"
"A","with N being the Avogadro number A the atomic number","number"
"h¯eq","average equivalent vertical height h¯eq as","height"
"h¯","of X showers the average height h¯ of all","height"
"R","terms of rθ and the radius of the earth R as","radius"
"h","the air density at height h in cm above sealevel which","height"
"ρ(h)","and ρ(h) is the air density at height h in cm","density"
"θ","depth r at an angle θ to the zenith","angle"
"r","penetrate to a depth r at an angle θ to the zenith and","depth"
"Ea","to the data we found activation energies Ea and attempt","energies"
"τ","energies Ea and attempt times τ","times"
"Ib","was performed at a constant bias current Ib of 10 μA","current"
"Ic1","hysteretic IVC with critical currents Ic1 and Ic2","current"
"Ic2","hysteretic IVC with critical currents Ic1 and Ic2","current"
"ΔV","signals with relative switching amplitudes ΔV","amplitudes"
"τ","to 145 meV and attempt times τ","times"
"τu","ΔVi and mean lifetimes τu and τl in the upper and lower","lifetime"
"τl","ΔVi and mean lifetimes τu and τl in the upper and lower","lifetime"
"ℓ","measurement of the widths ℓ of terraces","widths"
"s","constructing the dimensionless parameter s","parameter"
"β~","where β~ is the step stiffness","stiffness"
"σ","characterized by its variance σ and at least","variance"
"A~","determine the dimensionless strength A~ of the elastic repulsion","strength"
"δz","With δz denoting the displacements we obtain","displacements"
"ζ","disorders we obtain ζ for the roughness exponent","exponent"
"ϵ","method with a tolerance in the residual error of ϵ","error"
"K","described in terms of an bulk recombination rate constant K","constant"
"Ab","Ab is effective area of the aperture separating the","area"
"Ea","the high adsorption energy Ea on the helium surface","energy"
"Tb","the buffer to the cell by varying the temperature Tb of the buffer volume","temperature"
"Tc","the cell and Tb replaced by the cell temperature Tc","temperature"
"N˙","where N˙ is the decay of the 3d gas in","decay"
"Ve","temperature dependent effective volume Ve","volume"
"ED","Here ED denotes the dissociation energy of a singlet molecule","energy"
"n","where n and n' are the surface and bulk density","density"
"n'","where n and n' are the surface and bulk density","density"
"σ","where ϕ = ϕc and σ is a bifurcation point","point"
"m","transitions when the parameter m slowly changes","parameter"
"ϕ","quantum fluctuations ϕk of the field ϕ with momenta","field"
"V′′","with curvature V′′","curvature"
"V","theory with the quartic potential V","potential"
"mσ","the squares of the effective masses of both fields mσ and mϕ","field"
"mϕ","the squares of the effective masses of both fields mσ and mϕ","field"
"D","For an approximation using D poles one expects the moments up to D","poles"
"ω","the momentum p and the energy of the particle ω","energy"
"p","the momentum p and the energy of the particle ω","momentum"
"T","At T = 0 (zero temperature) the evaluation of the effective","temperature"
"p","the magnitude of the momentum p and the energy of the particle ω","momentum"
"m","Here m is an effective mass squared which controls the","mass"
"M","Planck scales is explained by postulating a fundamental scale M","scale"
"R","Kaluza-Klein compactification with large radius R","radius"
"ΩB","and the baryon fraction ΩB the matter density","fraction"
"h","the Hubble constant h","constant"
"ΩBh","best fit within the nucleosynthesis bound ΩBh","bound"
"t","We took the age of the Universe t to be between and","age"
"Ppl","where Ppl is the value","value"
"RH","where RH is the radius of the present","radius"
"Ωm","Universe with the matter density parameter Ωm ","parameter"
"X¯","lattice coupling α these coefficients are X¯","coefficient"
"δm","We slightly change notation to stress that δm is the perturbative residual mass","mass"
"PQμ","by a redefinition of mQ which leaves the momentum PQμ fixed","momentum"
"Dn","Note that in this relation coefficients Dn with","coefficients"
"aμ","for some constants aμ and x","constant"
"g^","with corresponding free energies g^ given by","energies"
"κ","is a twodimensional gradient operator κ is the bending modulus and c is the","operator"
"R","we take a circular WignerSeitz cells with impurity radius r and total radius R","radius"
"r","we take a circular WignerSeitz cells with impurity radius r and total radius R","radius"
"Fs","where Fl Fs and Fb are the energy contributions from the interfacial (line)","contribution"
"Fl","where Fl Fs and Fb are the energy contributions from the interfacial (line)","contribution"
"Fb","where Fl Fs and Fb are the energy contributions from the interfacial (line)","contribution"
"μ^","for a given set of control parameters (line tension λ^ frame tension σ^ chemical potential μ^) and determine","potential"
"σ^","for a given set of control parameters (line tension λ^ frame tension σ^ chemical potential μ^) and determine","tension"
"λ^","for a given set of control parameters (line tension λ^ frame tension σ^ chemical potential μ^) and determine","tension"
"si","which are defined at equally-spaced points si along the contour","points"
"σ^≫μ^","In the strong tension limit σ^≫μ^ which is exact for vanishing","limit"
"c","will typically scale these dimensions by the spontaneous curvature c thus defining","curvature"
"τ","The stripe domain size diverges as the limit τ is approached as","limit"
"G","the phase behavior we must minimize the free energy G of an array of domains","energy"
"λ","∂SB denotes the boundary of the impurity region and λ is the line tension","tension"
"n","portions of the ring differ by n sites","sites"
"N","let N be a reduced irreducible component of the fixed","component"
"C","for any reduced irreducible curve C on a blow up of at generic points","curve"
"g","where g is the arithmetic genus of C","genus"
"Ep","The variable energy debt parameter Ep used in computing the","parameter"
"C","with the long range dispersion interaction constant C computed","constant"
"v","line broadening cross section σ for a collision speed v and the velocity exponent α","speed"
"n","by principal quantum number n and orbital angular","number"
"α","and the velocity exponent α as defined by","exponent"
"σ","we quote the line broadening cross section σ for a collision speed","section"
